--------------------
BDMEP - INMET
--------------------
Estação           : PORTO ALEGRE - RS (OMM: 83967)
Latitude  (graus) : -30.05
Longitude (graus) : -51.16
Altitude  (metros): 46.97
Estação Operante
Inicio de operação: 09/12/1909
Periodo solicitado dos dados: 01/01/1961 a 31/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempCompensadaMedia;UmidadeRelativaMedia;
83967;31/01/1961;0000;72.9;25.38;66.66129;
83967;28/02/1961;0000;153.2;25.297143;71.598214;
83967;31/03/1961;0000;167.3;22.369677;78.153226;
83967;30/04/1961;0000;54.4;19.539333;80.758333;
83967;31/05/1961;0000;58.4;17.697419;84.959677;
83967;30/06/1961;0000;238.1;15.578667;84.783333;
83967;31/07/1961;0000;56.9;15.145161;84.072581;
83967;31/08/1961;0000;88.2;17.682581;81.072581;
83967;30/09/1961;0000;252.8;17.691333;84.55;
83967;31/10/1961;0000;182.5;21.340645;80.120968;
83967;30/11/1961;0000;92.8;22.663333;74.833333;
83967;31/12/1961;0000;134.1;24.116774;69.556452;
83967;31/01/1962;0000;57.1;23.996129;68.467742;
83967;28/02/1962;0000;38.5;22.958571;70.5625;
83967;31/03/1962;0000;85.7;23.740645;75.112903;
83967;30/04/1962;0000;50.4;19.322667;77.108333;
83967;31/05/1962;0000;22.4;15.071613;79.709677;
83967;30/06/1962;0000;29.7;13.862667;81.1;
83967;31/07/1962;0000;72.2;12.794839;83.717742;
83967;31/08/1962;0000;86.9;14.252903;79.282258;
83967;30/09/1962;0000;123.5;17.047333;76.516667;
83967;31/10/1962;0000;67.1;18.008387;71.782258;
83967;30/11/1962;0000;30.2;22.032667;68.8;
83967;31/12/1962;0000;48.2;24.199355;62.822581;
83967;31/01/1963;0000;90.4;24.950323;72.008065;
83967;28/02/1963;0000;76.3;25.011429;72.464286;
83967;31/03/1963;0000;96.9;24.226452;76.612903;
83967;30/04/1963;0000;36.7;20.414;76.066667;
83967;31/05/1963;0000;41.1;17.22129;80.75;
83967;30/06/1963;0000;79.7;15.008;76.8;
83967;31/07/1963;0000;62.1;15.419355;79.806452;
83967;31/08/1963;0000;162.4;14.804516;81.209677;
83967;30/09/1963;0000;115.7;18.007333;84.025;
83967;31/10/1963;0000;303.4;19.036129;78.814516;
83967;30/11/1963;0000;181.7;21.162;74.158333;
83967;31/12/1963;0000;70.7;23.037419;68.677419;
